RefSeq.mRNA.ID	length	RPKM	t5	Transcript.stable.ID	Gene.stable.ID	name
NM_001017368	4143	7.8	3.03030303030303	ENST00000394597	ENSG00000092871	RFFL
NM_001017369	2214	7.75	2.53164556962025	ENST00000393766	ENSG00000052802	MSMO1
NM_001017370	3572	1.32	2.63157894736842	ENST00000379599	ENSG00000188811	NHLRC3
NM_001017371	3980	15.18	2.73972602739726	ENST00000418194	ENSG00000172845	SP3
NM_001017392	4717	46.22	3.84615384615385	ENST00000452918	ENSG00000064607	SUGP2
NM_001017395	6012	6.99	2.24719101123596	ENST00000393238	ENSG00000172765	TMCC1
NM_001017396	3951	2.24	2.10526315789474	ENST00000617923	ENSG00000275111	ZNF2
NM_001017397	4456	2.27	2.73972602739726	ENST00000379618	ENSG00000152503	TRIM36
NM_001017398	4456	2.27	2.73972602739726	ENST00000379617	ENSG00000152503	TRIM36
NM_001017402	4339	6.02	14.0869565217391	ENST00000391911	ENSG00000196878	LAMB3
NM_001017405	2207	48.98	4.85714285714286	ENST00000303400	ENSG00000090316	MAEA
NM_001017408	4604	16.26	2.63157894736842	ENST00000052569	ENSG00000047932	GOPC
NM_001017415	3949	21.31	3.03030303030303	ENST00000371146	ENSG00000162607	USP1
NM_001017416	3949	21.31	3.03030303030303	ENST00000371146	ENSG00000162607	USP1
NM_001017420	3376	8.83	2.5974025974026	ENST00000305188	ENSG00000171320	ESCO2
NM_001017423	3470	53.62	13.1707317073171	ENST00000371221	ENSG00000059573	ALDH18A1
NM_001017434	2712	4.55	2.17391304347826	ENST00000355360	ENSG00000185220	PGBD2
NM_001017524	2900	3.72	5.42857142857143	ENST00000529382	ENSG00000142082	SIRT3
NM_001017528	2017	23.25	3.84615384615385	ENST00000611394	ENSG00000186654	PRR5
NM_001017529	2017	23.25	3.84615384615385	ENST00000617066	ENSG00000186654	PRR5
NM_001017530	2017	23.25	3.84615384615385	ENST00000624862	ENSG00000186654	PRR5
NM_001017535	4791	21.37	3.50877192982456	ENST00000549336	ENSG00000111424	VDR
NM_001017916	3173	56.27	5.63636363636364	ENST00000392976	ENSG00000008283	CYB561
NM_001017917	3173	56.27	5.63636363636364	ENST00000392975	ENSG00000008283	CYB561
NM_001017919	2774	18.75	3.03030303030303	ENST00000394258	ENSG00000166965	RCCD1
NM_001017922	3485	4.56	3.84615384615385	ENST00000372517	ENSG00000164010	ERMAP
NM_001017926	5032	7.61	3.125	ENST00000297857	ENSG00000165156	ZHX1
NM_001017927	1280	2.48	2.38095238095238	ENST00000409466	ENSG00000186132	C2orf76
NM_001017928	718	37.08	5	ENST00000291458	ENSG00000160124	MIX23
NM_001017961	1676	2.87	2.56410256410256	ENST00000354422	ENSG00000188859	FAM78B
NM_001017963	3512	291.09	20	ENST00000334701	ENSG00000080824	HSP90AA1
NM_001017964	1350	40.68	8.76923076923077	ENST00000292778	ENSG00000161179	YDJC
NM_001017969	4705	2.62	2.63157894736842	ENST00000399933	ENSG00000183354	KIAA2026
NM_001017977	3303	17.35	9.41176470588235	ENST00000312263	ENSG00000143164	DCAF6
NM_001017979	1648	25	2.73972602739726	ENST00000330852	ENSG00000157869	RAB28
NM_001017980	4718	5.48	9.21739130434783	ENST00000330374	ENSG00000160131	VMA21
NM_001017981	1922	2.3	8.5	ENST00000382363	ENSG00000099999	RNF215
NM_001017987	1309	26.39	3.125	ENST00000640658	nan	nan
NM_001017987	1309	26.39	3.125	ENST00000376931	ENSG00000161010	MRNIP
NM_001017989	2250	16.76	3.125	ENST00000323060	ENSG00000125741	OPA3
NM_001017995	7777	23.46	3.57142857142857	ENST00000311601	ENSG00000174705	SH3PXD2B
NM_001017999	1783	2.54	2.5	ENST00000400797	ENSG00000189337	KAZN
NM_001018000	1783	2.54	2.5	ENST00000361144	ENSG00000189337	KAZN
NM_001018001	1783	2.54	2.5	ENST00000400798	ENSG00000189337	KAZN
NM_001018003	3145	4.2	6.5	ENST00000523965	ENSG00000120896	SORBS3
NM_001018004	1797	52.74	9.2	ENST00000559556	ENSG00000140416	TPM1
NM_001018005	1797	52.74	9.2	ENST00000403994	ENSG00000140416	TPM1
NM_001018006	1797	52.74	9.2	ENST00000358278	ENSG00000140416	TPM1
NM_001018007	1797	52.74	9.2	ENST00000267996	ENSG00000140416	TPM1
NM_001018008	1797	52.74	9.2	ENST00000334895	ENSG00000140416	TPM1
NM_001018009	2810	53.79	3.7037037037037	ENST00000408919	ENSG00000131370	SH3BP5
NM_001018020	1797	52.74	9.2	ENST00000559397	ENSG00000140416	TPM1
NM_001018024	1943	4.31	2.89855072463768	ENST00000369484	ENSG00000182712	CMC4
NM_001018025	1943	4.31	2.89855072463768	ENST00000369476	ENSG00000214827	MTCP1
NM_001018037	11262	2.77	2.77777777777778	ENST00000376636	ENSG00000197969	VPS13A
NM_001018038	11262	2.77	2.77777777777778	ENST00000645632	ENSG00000197969	VPS13A
NM_001018041	3474	1.41	3.77358490566038	ENST00000435470	ENSG00000112425	EPM2A
NM_001018050	4520	25.85	4.69565217391304	ENST00000355209	ENSG00000100413	POLR3H
NM_001018052	4520	25.85	4.69565217391304	ENST00000337566	ENSG00000100413	POLR3H
NM_001018053	7073	4.23	6.90909090909091	ENST00000367079	ENSG00000123836	PFKFB2
NM_001018054	4528	55.01	2.98507462686567	ENST00000371454	ENSG00000157193	LRP8
NM_001018055	2937	9.36	3.50877192982456	ENST00000330045	ENSG00000185515	BRCC3
NM_001018057	2769	1.49	9.69230769230769	ENST00000683431	ENSG00000050165	DKK3
NM_001018067	6764	56.75	6.85714285714286	ENST00000370995	ENSG00000142864	SERBP1
NM_001018068	6764	56.75	6.85714285714286	ENST00000370990	ENSG00000142864	SERBP1
NM_001018069	6764	56.75	6.85714285714286	ENST00000361219	ENSG00000142864	SERBP1
NM_001018070	1927	22.63	17.7391304347826	ENST00000393893	ENSG00000172725	CORO1B
NM_001018073	2221	2.3	18.8571428571429	ENST00000645709	nan	nan
NM_001018073	2221	2.3	18.8571428571429	ENST00000396973	ENSG00000100889	PCK2
NM_001018074	7286	41.3	2.89855072463768	ENST00000343796	ENSG00000113580	NR3C1
NM_001018075	7286	41.3	2.89855072463768	ENST00000343796	ENSG00000113580	NR3C1
NM_001018076	7286	41.3	2.89855072463768	ENST00000503201	ENSG00000113580	NR3C1
NM_001018077	7286	41.3	2.89855072463768	ENST00000343796	ENSG00000113580	NR3C1
NM_001018078	2487	45.05	8.8695652173913	ENST00000373225	ENSG00000136877	FPGS
NM_001018088	13400	1.3	2.77777777777778	ENST00000645819	ENSG00000129003	VPS13C
NM_001018089	7209	3.85	3.77358490566038	ENST00000261520	ENSG00000128915	ICE2
NM_001018090	4664	9.74	3.38983050847458	ENST00000380569	ENSG00000137878	GCOM1
NM_001018091	4664	9.74	3.38983050847458	ENST00000380568	ENSG00000137878	GCOM1
NM_001018100	4664	9.74	3.38983050847458	ENST00000267853	ENSG00000263155	MYZAP
NM_001018102	4139	9.6	3.63636363636364	ENST00000380557	ENSG00000255529	POLR2M
NM_001018104	1706	10.35	3.38983050847458	ENST00000382666	ENSG00000180185	FAHD1
NM_001018109	1316	30.72	4	ENST00000380420	ENSG00000087842	PIR
NM_001018111	5999	54.89	9.125	ENST00000378555	ENSG00000128567	PODXL
NM_001018112	5460	18.79	3.2258064516129	ENST00000389302	ENSG00000187741	FANCA
NM_001018113	3008	4.71	2.56410256410256	ENST00000650831	ENSG00000181544	FANCB
NM_001018115	5204	7.82	3.33333333333333	ENST00000675286	ENSG00000144554	FANCD2
NM_001018159	1918	17.35	3.77358490566038	ENST00000379463	ENSG00000159593	NAE1
NM_001018160	1918	17.35	3.77358490566038	ENST00000394074	ENSG00000159593	NAE1
NM_001018161	1669	43.94	11.1724137931034	ENST00000433091	ENSG00000105854	PON2
NM_001018837	1196	72.86	17.4857142857143	ENST00000457918	ENSG00000143575	HAX1
NM_001020658	5416	52.89	3.44827586206897	ENST00000426105	ENSG00000134644	PUM1
NM_001020818	3243	11.75	8.25	ENST00000391769	ENSG00000179820	MYADM
NM_001020819	3243	11.75	8.25	ENST00000391771	ENSG00000179820	MYADM
NM_001020820	3243	11.75	8.25	ENST00000421337	ENSG00000179820	MYADM
NM_001020821	3243	11.75	8.25	ENST00000391769	ENSG00000179820	MYADM
NM_001020825	7286	41.3	2.89855072463768	ENST00000415690	ENSG00000113580	NR3C1
NM_001023560	3062	3.68	2.27272727272727	ENST00000421553	ENSG00000197062	ZSCAN26
NM_001023561	2076	3.85	2.24719101123596	ENST00000334181	ENSG00000186230	ZNF749
NM_001023563	8883	1.48	2.27272727272727	ENST00000414468	ENSG00000204524	ZNF805
NM_001023570	2392	5.76	2.56410256410256	ENST00000310864	ENSG00000173226	IQCB1
NM_001023571	2392	5.76	2.56410256410256	ENST00000349820	ENSG00000173226	IQCB1
NM_001023587	5851	24.69	3.07692307692308	ENST00000382494	ENSG00000114770	ABCC5
NM_001024024	2941	2.49	3.77358490566038	ENST00000395514	ENSG00000131979	GCH1
NM_001024070	2941	2.49	3.77358490566038	ENST00000543643	ENSG00000131979	GCH1
NM_001024071	2941	2.49	3.77358490566038	ENST00000536224	ENSG00000131979	GCH1
NM_001024074	3373	5.49	3.57142857142857	ENST00000280096	ENSG00000150540	HNMT
NM_001024075	3373	5.49	3.57142857142857	ENST00000329366	ENSG00000150540	HNMT
NM_001024094	7286	41.3	2.89855072463768	ENST00000231509	ENSG00000113580	NR3C1
NM_001024210	951	14.4	10.7272727272727	ENST00000476133	ENSG00000189171	S100A13
NM_001024211	951	14.4	10.7272727272727	ENST00000476133	ENSG00000189171	S100A13
NM_001024212	951	14.4	10.7272727272727	ENST00000392623	ENSG00000189171	S100A13
NM_001024213	951	14.4	10.7272727272727	ENST00000392623	ENSG00000189171	S100A13
NM_001024215	3363	1.26	6	ENST00000441801	ENSG00000162458	FBLIM1
NM_001024216	3363	1.26	6	ENST00000332305	ENSG00000162458	FBLIM1
NM_001024218	4318	12.76	2.98507462686567	ENST00000315266	ENSG00000171723	GPHN
NM_001024226	2020	297.05	10.4285714285714	ENST00000540651	ENSG00000143761	ARF1
NM_001024227	2020	297.05	10.4285714285714	ENST00000541182	ENSG00000143761	ARF1
NM_001024228	2020	297.05	10.4285714285714	ENST00000541182	ENSG00000143761	ARF1
NM_001024372	2859	2.29	2.53164556962025	ENST00000438105	ENSG00000164929	BAALC
NM_001024380	3641	16.75	3.17460317460317	ENST00000456845	ENSG00000169490	TM2D2
NM_001024381	3641	16.75	3.17460317460317	ENST00000456845	ENSG00000169490	TM2D2
NM_001024382	1526	18.97	10.1538461538462	ENST00000392841	ENSG00000256269	HMBS
NM_001024465	1593	72.34	9.42857142857143	ENST00000367055	ENSG00000112096	SOD2
NM_001024466	1593	72.34	9.42857142857143	ENST00000367054	ENSG00000112096	SOD2
NM_001024594	588	3.75	3.27868852459016	ENST00000367393	ENSG00000203724	C1orf53
NM_001024599	1858	12.09	4.55555555555556	ENST00000369167	ENSG00000203814	H2BC18
NM_001024628	5890	7.25	4.76923076923077	ENST00000374822	ENSG00000099250	NRP1
NM_001024629	5890	7.25	4.76923076923077	ENST00000374821	ENSG00000099250	NRP1
NM_001024630	5720	2.68	2.46913580246914	ENST00000647337	ENSG00000124813	RUNX2
NM_001024647	9636	1.17	3.77358490566038	ENST00000551641	ENSG00000127328	RAB3IP
NM_001024666	3348	16.02	9.6	ENST00000379698	ENSG00000147010	SH3KBP1
NM_001024674	576	21.44	2.40963855421687	ENST00000555028	ENSG00000205659	LIN52
NM_001024675	2028	4.23	2.04081632653061	ENST00000677665	ENSG00000288649	ACTL10
NM_001024678	1825	15.33	2.94117647058824	ENST00000529415	ENSG00000254402	LRRC24
NM_001024683	1839	1.41	6.07692307692308	ENST00000563276	ENSG00000229809	ZNF688
NM_001024688	4689	16.05	6.66666666666667	ENST00000409330	ENSG00000104320	NBN
NM_001024732	2434	9.31	3.2258064516129	ENST00000373791	ENSG00000116353	MECR
NM_001024736	3419	24.55	13.2972972972973	ENST00000318443	ENSG00000103855	CD276
NM_001024808	3714	13.9	2.46913580246914	ENST00000261822	ENSG00000110987	BCL7A
NM_001024809	3405	15.13	3.07692307692308	ENST00000394081	ENSG00000131759	RARA
NM_001024843	17947	4.49	3.27868852459016	ENST00000301923	ENSG00000100354	TNRC6B
NM_001024844	1715	28.47	3.27868852459016	ENST00000342935	ENSG00000085117	CD82
NM_001024845	3375	9.97	5.85714285714286	ENST00000372310	ENSG00000196517	SLC6A9
NM_001024847	4714	9.68	2.66666666666667	ENST00000359013	ENSG00000163513	TGFBR2
NM_001024855	4338	3.2	2.53164556962025	ENST00000627752	nan	nan
NM_001024855	4338	3.2	2.53164556962025	ENST00000383745	ENSG00000186448	ZNF197
NM_001024858	10064	1.1	2.29885057471264	ENST00000389722	ENSG00000070182	SPTB
NM_001024916	1159	1.32	3.07692307692308	ENST00000377395	ENSG00000147996	CBWD5
NM_001024924	3582	4.2	5.71428571428571	ENST00000381295	ENSG00000090989	EXOC1
NM_001024934	3230	12.81	7.6	ENST00000392588	ENSG00000112290	WASF1
NM_001024935	3230	12.81	7.6	ENST00000359451	ENSG00000112290	WASF1
NM_001024936	3230	12.81	7.6	ENST00000392587	ENSG00000112290	WASF1
NM_001024937	4989	17.52	3.50877192982456	ENST00000453408	ENSG00000141503	MINK1
NM_001024938	2055	1.63	3.03030303030303	ENST00000345044	ENSG00000133460	SLC2A11
NM_001024938	2055	1.63	3.03030303030303	ENST00000618502	nan	nan
NM_001024939	2055	1.63	3.03030303030303	ENST00000316185	ENSG00000133460	SLC2A11
NM_001024939	2055	1.63	3.03030303030303	ENST00000620942	nan	nan
NM_001024940	1851	4.53	2.10526315789474	ENST00000647065	nan	nan
NM_001024940	1851	4.53	2.10526315789474	ENST00000366698	ENSG00000162931	TRIM17
NM_001024943	2061	5.85	3.38983050847458	ENST00000304874	ENSG00000126522	ASL
NM_001024944	2061	5.85	3.38983050847458	ENST00000395331	ENSG00000126522	ASL
NM_001024946	2061	5.85	3.38983050847458	ENST00000380839	ENSG00000126522	ASL
NM_001024947	3126	21.7	3.77358490566038	ENST00000448443	ENSG00000145817	YIPF5
NM_001024948	5220	6.61	3.2258064516129	ENST00000260506	ENSG00000137942	FNBP1L
NM_001024956	2244	9.15	9.41666666666667	ENST00000392789	ENSG00000109929	SC5D
NM_001024957	1455	37.6	8.22222222222222	ENST00000425825	ENSG00000174744	BRMS1
NM_001024959	1976	83.27	14.0869565217391	ENST00000498623	ENSG00000241553	ARPC4
NM_001024960	1976	83.27	14.0869565217391	ENST00000498623	ENSG00000241553	ARPC4
NM_001025068	3241	2.58	2.63157894736842	ENST00000396482	ENSG00000172995	ARPP21
NM_001025069	3241	2.58	2.63157894736842	ENST00000396482	ENSG00000172995	ARPP21
NM_001025081	4889	6.75	2.40963855421687	ENST00000382582	ENSG00000197971	MBP
NM_001025090	4889	6.75	2.40963855421687	ENST00000397866	ENSG00000197971	MBP
NM_001025092	4889	6.75	2.40963855421687	ENST00000397865	ENSG00000197971	MBP
NM_001025100	4889	6.75	2.40963855421687	ENST00000397860	ENSG00000197971	MBP
NM_001025101	4889	6.75	2.40963855421687	ENST00000355994	ENSG00000197971	MBP
NM_001025105	3149	80.15	7.04761904761905	ENST00000261798	ENSG00000113712	CSNK1A1
NM_001025107	6640	83.16	8.57142857142857	ENST00000368471	ENSG00000160710	ADAR
NM_001025158	1519	1.01	3.03030303030303	ENST00000377795	ENSG00000019582	CD74
NM_001025159	1519	1.01	3.03030303030303	ENST00000009530	ENSG00000019582	CD74
NM_001025160	3247	64.11	10.8965517241379	ENST00000357355	ENSG00000123146	ADGRE5
NM_001025201	2607	3.36	11.04	ENST00000409156	ENSG00000128656	CHN1
NM_001025203	1038	68.52	7	ENST00000380276	ENSG00000160201	U2AF1
NM_001025204	1038	68.52	7	ENST00000459639	ENSG00000160201	U2AF1
NM_001025247	4139	22.89	2.7027027027027	ENST00000366675	ENSG00000135801	TAF5L
NM_001025248	2146	8.04	20.7272727272727	ENST00000331200	ENSG00000128951	DUT
NM_001025249	2146	8.04	20.7272727272727	ENST00000558813	ENSG00000128951	DUT
NM_001025252	4250	14.73	8.47058823529412	ENST00000379097	ENSG00000076554	TPD52
NM_001025253	4250	14.73	8.47058823529412	ENST00000518937	ENSG00000076554	TPD52
NM_001025300	2138	32.95	3.33333333333333	ENST00000649141	ENSG00000206418	RAB12
NM_001025356	5987	12.49	9.62962962962963	ENST00000320560	ENSG00000177119	ANO6
NM_001025366	3665	33.57	2.4390243902439	ENST00000372055	ENSG00000112715	VEGFA
NM_001025367	3665	33.57	2.4390243902439	ENST00000413642	ENSG00000112715	VEGFA
NM_001025368	3665	33.57	2.4390243902439	ENST00000372067	ENSG00000112715	VEGFA
NM_001025369	3665	33.57	2.4390243902439	ENST00000417285	ENSG00000112715	VEGFA
NM_001025370	3665	33.57	2.4390243902439	ENST00000372064	ENSG00000112715	VEGFA
NM_001025436	2189	6.43	3.38983050847458	ENST00000432529	ENSG00000144451	SPAG16
NM_001025579	2420	25.44	2.77777777777778	ENST00000402554	ENSG00000166579	NDEL1
NM_001025580	5431	9.57	5.8	ENST00000372059	ENSG00000101935	AMMECR1
NM_001025593	3091	10.45	3.27868852459016	ENST00000356064	ENSG00000164144	ARFIP1
NM_001025595	3091	10.45	3.27868852459016	ENST00000353617	ENSG00000164144	ARFIP1
NM_001025596	2206	133	5.27272727272727	ENST00000358597	ENSG00000149187	CELF1
NM_001025603	3618	43.13	7.66666666666667	ENST00000452671	ENSG00000143390	RFX5
NM_001025604	2539	19.8	2.94117647058824	ENST00000379656	ENSG00000105643	ARRDC2
NM_001025778	2129	13.95	2.77777777777778	ENST00000377011	ENSG00000105053	VRK3
NM_001025780	3153	7.8	2.24719101123596	ENST00000333421	ENSG00000107362	ABHD17B
NM_001025930	3454	2.76	2.53164556962025	ENST00000426895	ENSG00000214021	TTLL3
NM_001026383	2173	1.32	9.08333333333333	ENST00000277657	ENSG00000216937	CCDC7
NM_001029	699	10.62	10.1176470588235	ENST00000646449	ENSG00000197728	RPS26
NM_001029835	2140	19.25	3.17460317460317	ENST00000381112	ENSG00000136280	CCM2
NM_001029839	3379	6.68	5.84615384615385	ENST00000396078	ENSG00000179152	TCAIM
NM_001029840	3379	6.68	5.84615384615385	ENST00000383746	ENSG00000179152	TCAIM
NM_001029851	3570	17.08	2.94117647058824	ENST00000346042	ENSG00000113231	PDE8B
NM_001029852	3570	17.08	2.94117647058824	ENST00000333194	ENSG00000113231	PDE8B
NM_001029853	3570	17.08	2.94117647058824	ENST00000342343	ENSG00000113231	PDE8B
NM_001029854	3570	17.08	2.94117647058824	ENST00000340978	ENSG00000113231	PDE8B
NM_001029858	4860	1.8	21.9130434782609	ENST00000360388	ENSG00000196376	SLC35F1
NM_001029859	3396	5.22	2.10526315789474	ENST00000340067	ENSG00000188997	KCTD21
NM_001029860	2908	1.02	2.63157894736842	ENST00000428847	ENSG00000156509	FBXO43
NM_001029863	4219	3.77	3.50877192982456	ENST00000332290	ENSG00000185127	C6orf120
NM_001029869	725	3.98	2.4390243902439	ENST00000311450	ENSG00000173261	PLAC8L1
NM_001029880	4363	8.56	2.56410256410256	ENST00000397167	ENSG00000198879	SFMBT2
NM_001029882	5714	11.82	2.53164556962025	ENST00000374011	ENSG00000126705	AHDC1
NM_001029885	2193	9.76	2.85714285714286	ENST00000343938	ENSG00000224051	CPTP
NM_001029896	1925	11.97	9.57142857142857	ENST00000376372	ENSG00000196998	WDR45
NM_001029939	5469	9.56	2.85714285714286	ENST00000520727	ENSG00000066827	ZFAT
NM_001029955	4731	2.71	2.77777777777778	ENST00000333141	ENSG00000182308	DCAF4L1
NM_001029976	2632	7.51	2.1505376344086	ENST00000276816	ENSG00000170631	ZNF16
NM_001029991	1802	33.85	11.047619047619	ENST00000382985	ENSG00000165792	METTL17
NM_001029998	2706	6.7	2.66666666666667	ENST00000335472	ENSG00000120519	SLC10A7
NM_001030001	735	41.36	2.66666666666667	ENST00000396020	ENSG00000213741	RPS29
NM_001030007	6850	20.9	5.92	ENST00000393512	ENSG00000166747	AP1G1
NM_001030010	2857	19.52	6.33333333333333	ENST00000617288	ENSG00000006534	ALDH3B1
NM_001030055	9604	6.28	3.44827586206897	ENST00000345122	ENSG00000100852	ARHGAP5
NM_001030060	6089	4.96	2.94117647058824	ENST00000367474	ENSG00000203727	SAMD5
NM_001030272	2828	8.46	2.98507462686567	ENST00000389707	ENSG00000133794	ARNTL
NM_001030273	2828	8.46	2.98507462686567	ENST00000401424	ENSG00000133794	ARNTL
NM_001030287	2361	8.25	2.24719101123596	ENST00000366987	ENSG00000162772	ATF3
NM_001031617	4896	4.57	2.38095238095238	ENST00000344111	ENSG00000240230	COX19
NM_001031623	5241	11.78	2.77777777777778	ENST00000370706	ENSG00000112200	ZNF451
NM_001031628	1087	9.22	7.44827586206897	ENST00000603798	ENSG00000170545	SMAGP
NM_001031665	2705	1.24	2.40963855421687	ENST00000357666	ENSG00000180257	ZNF816
NM_001031672	852	9.28	3.57142857142857	ENST00000534324	ENSG00000215883	CYB5RL
NM_001031677	1612	21.19	6.6	ENST00000303251	ENSG00000169228	RAB24
NM_001031679	4369	3.06	11.2857142857143	ENST00000308259	ENSG00000174099	MSRB3
NM_001031680	4340	31.6	2.98507462686567	ENST00000399916	ENSG00000020633	RUNX3
NM_001031681	2611	13.82	5.06666666666667	ENST00000381870	ENSG00000040531	CTNS
NM_001031683	1999	6.41	3.125	ENST00000371811	ENSG00000119917	IFIT3
NM_001031684	2381	96.76	5.45454545454546	ENST00000313117	ENSG00000115875	SRSF7
NM_001031685	4802	19.55	3.7037037037037	ENST00000343537	ENSG00000143514	TP53BP2
NM_001031689	3240	21.5	4	ENST00000397292	ENSG00000137055	PLAA
NM_001031694	3306	18.85	3.38983050847458	ENST00000326197	ENSG00000010803	SCMH1
NM_001031695	1876	27.57	5.23076923076923	ENST00000619768	nan	nan
NM_001031695	1876	27.57	5.23076923076923	ENST00000449924	ENSG00000100320	RBFOX2
NM_001031698	3698	4.67	3.33333333333333	ENST00000548825	ENSG00000110844	PRPF40B
NM_001031701	7028	2.95	3.2258064516129	ENST00000392876	ENSG00000111696	NT5DC3
NM_001031703	1374	16.14	5.73913043478261	ENST00000296149	ENSG00000163832	ELP6
NM_001031709	2107	4.67	4	ENST00000331772	ENSG00000184719	RNLS
NM_001031710	3140	7.65	3.77358490566038	ENST00000339077	ENSG00000122550	KLHL7
NM_001031711	3969	84.84	21.2307692307692	ENST00000393784	ENSG00000113719	ERGIC1
NM_001031712	1967	18	2.85714285714286	ENST00000334379	ENSG00000066651	TRMT11
NM_001031713	1248	14.38	9.63636363636364	ENST00000379170	ENSG00000050393	MCUR1
NM_001031714	3019	41.24	6.60869565217391	ENST00000330634	ENSG00000203485	INF2
NM_001031716	1879	12.68	2.27272727272727	ENST00000425611	ENSG00000173559	NABP1
NM_001031717	2072	2.55	2.98507462686567	ENST00000326434	ENSG00000163703	CRELD1
NM_001031719	1970	1.61	2.32558139534884	ENST00000280056	ENSG00000102796	DHRS12
NM_001031720	2228	7.62	4.4	ENST00000360505	ENSG00000138780	GSTCD
NM_001031721	2308	1.58	2.17391304347826	ENST00000293471	ENSG00000176024	ZNF613
NM_001031723	4802	1.84	2.40963855421687	ENST00000442697	ENSG00000164031	DNAJB14
NM_001031725	2905	4.61	2.85714285714286	ENST00000331314	ENSG00000118197	DDX59
NM_001031726	4702	3.67	2.85714285714286	ENST00000623113	ENSG00000131943	C19orf12
NM_001031727	3177	20.59	9.90476190476191	ENST00000040663	ENSG00000037757	MRI1
NM_001031732	6249	14.91	3.50877192982456	ENST00000615500	nan	nan
NM_001031732	6249	14.91	3.50877192982456	ENST00000344157	ENSG00000083896	YTHDC1
NM_001031733	4655	3.81	2.63157894736842	ENST00000448060	ENSG00000129007	CALML4
NM_001031734	1962	9.59	3.7037037037037	ENST00000393708	ENSG00000267673	FDX2
NM_001031737	3454	3.82	2.56410256410256	ENST00000293889	ENSG00000162004	CCDC78
NM_001031738	1527	5.74	7.58620689655172	ENST00000334462	ENSG00000168890	TMEM150A
NM_001031739	1667	13.31	15.8918918918919	ENST00000380488	ENSG00000102048	ASB9
NM_001031740	2341	17.02	9.83333333333333	ENST00000397631	ENSG00000185090	MANEAL
NM_001031741	2037	4.59	2.56410256410256	ENST00000383771	ENSG00000163491	NEK10
NM_001031800	3032	16.17	8.74074074074074	ENST00000367830	ENSG00000143155	TIPRL
NM_001031801	3848	4.33	5.625	ENST00000340552	ENSG00000182541	LIMK2
NM_001031803	3590	1.66	3.38983050847458	ENST00000392550	ENSG00000073350	LLGL2
NM_001031806	3823	14.84	10.4516129032258	ENST00000339618	ENSG00000072210	ALDH3A2
NM_001031812	4462	11.2	3.44827586206897	ENST00000345990	ENSG00000151292	CSNK1G3
NM_001031847	2941	54.8	11.1515151515152	ENST00000376618	ENSG00000110090	CPT1A
NM_001031848	3407	2.09	3.44827586206897	ENST00000397988	ENSG00000166401	SERPINB8
NM_001031855	2625	18.82	2.98507462686567	ENST00000371628	ENSG00000175556	LONRF3
NM_001032	735	41.36	2.66666666666667	ENST00000245458	ENSG00000213741	RPS29
NM_001032221	3899	14.87	9.48148148148148	ENST00000373299	ENSG00000136854	STXBP1
NM_001032279	1489	46.99	6.5	ENST00000525356	ENSG00000173653	RCE1
NM_001032280	3808	11.1	2.7027027027027	ENST00000379608	ENSG00000137203	TFAP2A
NM_001032281	3927	11.62	13.7142857142857	ENST00000339091	ENSG00000003436	TFPI
NM_001032282	3085	14.95	2.1978021978022	ENST00000395884	ENSG00000155090	KLF10
NM_001032283	2701	95.51	5.92592592592593	ENST00000556029	ENSG00000120802	TMPO
NM_001032284	2701	95.51	5.92592592592593	ENST00000393053	ENSG00000120802	TMPO
NM_001032287	2202	8.85	2.77777777777778	ENST00000393101	ENSG00000120798	NR2C1
NM_001032288	2554	27.2	9.88235294117647	ENST00000371674	ENSG00000244687	UBE2V1
NM_001032289	2620	43.91	4.85714285714286	ENST00000445167	ENSG00000102100	SLC35A2
NM_001032291	1828	45.14	3.2258064516129	ENST00000369907	ENSG00000134222	PSRC1
NM_001032292	2264	8.78	2.17391304347826	ENST00000344823	ENSG00000103343	ZNF174
NM_001032293	2348	81.92	7.11111111111111	ENST00000394673	ENSG00000010244	ZNF207
NM_001032296	4624	24.56	8.17391304347826	ENST00000539966	ENSG00000102572	STK24
NM_001032363	2589	7.6	9.6	ENST00000322753	ENSG00000173436	MICOS10
NM_001032372	2623	3.86	2.8169014084507	ENST00000454662	ENSG00000167380	ZNF226
NM_001032373	2623	3.86	2.8169014084507	ENST00000337433	ENSG00000167380	ZNF226
NM_001032374	2623	3.86	2.8169014084507	ENST00000413984	ENSG00000167380	ZNF226
NM_001032381	1147	34.49	13.4117647058824	ENST00000447146	ENSG00000102103	PQBP1
NM_001032382	1147	34.49	13.4117647058824	ENST00000447146	ENSG00000102103	PQBP1
NM_001032383	1147	34.49	13.4117647058824	ENST00000447146	ENSG00000102103	PQBP1
NM_001032384	1147	34.49	13.4117647058824	ENST00000396763	ENSG00000102103	PQBP1
NM_001032386	2564	11.78	2.63157894736842	ENST00000266971	ENSG00000139531	SUOX
NM_001032387	2564	11.78	2.63157894736842	ENST00000356124	ENSG00000139531	SUOX
NM_001032391	1374	14.39	10.0869565217391	ENST00000380966	ENSG00000205629	LCMT1
NM_001032393	2327	19.44	6.66666666666667	ENST00000316594	ENSG00000126945	HNRNPH2
NM_001032394	6948	8.97	8.8	ENST00000296932	ENSG00000112414	ADGRG6
NM_001032395	6948	8.97	8.8	ENST00000367608	ENSG00000112414	ADGRG6
NM_001032396	2728	4.84	5.64102564102564	ENST00000374571	ENSG00000181191	PJA1
